Test Time (s),Data (kg)
0.723,"-36	-11406
16	-11498
0	-11679
22	-11846
0	-11970
-6	-12100
-25	-12198
-12	-12270
-8	-12421
5	-12586
12	-12641
	-11182
-1	-11319
-36	-11406
16	-11498
0	-11679
22	-11846
0	-11970
-6	-12100
-25	-12198
-12	-12270
-8	-12421
5	-12586
12	-12641
"
4.364,"5	38
20	51
"
4.462,"-15	-3
"
4.561,"-22	-56
"
4.662,"54	-10
"
4.764,"65	-58
"
4.864,"17	-64
"
4.981,"28	-66
"
5.063,"-25	-135
"
5.179,"-28	-123
"
5.278,"-8	-142
"
5.382,"21	-209
"
5.479,"-4	-198
"
5.579,"-32	-216
"
5.68,"8	-319
"
5.78,"22	-433
"
5.882,"13	-456
"
5.981,"-6	-513
"
6.079,"17	-579
"
6.179,"-1	-678
"
